Tweet_clean,HS,Abusive,HS_Weak,HS_Moderate,HS_Strong,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other
cowok berusaha melacak perhatian gue lantas remehkan perhatian gue kasih khusus basic cowok bego,1,1,1,0,0,1,0,0,0,0,0,1
pengguna pengguna telat tau edan sarap gue bergaul cigax jifla calis licew,0,1,0,0,0,0,0,0,0,0,0,0
kadang berpikir percaya tuhan jatuh berkali kali kadang tuhan meninggalkan orang tuaku berencana berpisah kakakku memilih kristen anak ter,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna ku tau matamu sipit,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna kaum cebong kafir dongoknya dungu haha,1,1,0,1,0,0,1,1,0,0,0,0
pengguna ya bani taplak kawan kawan xf xf xf xf xf xf,1,1,0,1,0,0,1,0,0,0,0,1
deklarasi pilihan kepala daerah aman anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
gue selesai re watch aldnoah zero kampret karakter utama cowoknya kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
admin belanja port terbaik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak mertuaku taipan kembar baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
pengguna enak ngewe,0,1,0,0,0,0,0,0,0,0,0,0
gue jari gue ukur nyali bacot xf xf xf,1,1,1,0,0,1,0,0,0,0,0,1
pengguna pengguna pengguna pengguna banci kaleng malu nyungsep koe pengguna uniform resource locator,1,1,1,0,0,1,0,0,0,0,1,0
belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi pengguna,0,0,0,0,0,0,0,0,0,0,0,0
aktor huru hara prabowo si lengserkan pemerintahan jokowi nyata,1,0,1,0,0,1,0,0,0,0,0,1
pengguna bu guru enakan jablay guru sekolah dasar sih kayaknya menikmati pecun guru,1,1,1,0,0,1,0,0,0,0,1,0
pengguna pengguna pengguna pengguna pengguna pengguna lawan bicara gue intelek kayak otak kencing onta gue mengakui hadis nabi sahih kafir kayak menolak ahlun nar,1,1,1,0,0,1,0,1,0,0,0,0
pikiran ampas banget ya,0,0,0,0,0,0,0,0,0,0,0,0
